1;1749XA;111238;526745
1;3059SB;100561;444932
1;6174RH;187479;329566
1;6191JW;183595;327887
1;7416BW;208228;474639
1;8152BV;219096;495873
1;9502BT;261210;558042
2;4854CM;116400;397520
2;5652JV;158311;383376
2;5754AE;185186;385176
2;6921WV;198239;439706
2;9475TR;240625;569310
3;2993CH;92847;430266
3;5521VJ;150029;373847
3;9422HX;226680;551779
4;1705LP;116422;518380
4;2134XK;104205;480902
5;1448KS;124471;501868
5;3731DA;140286;457734
5;6373KW;200930;324209
5;6446PX;193876;327639
6;2371PG;103024;469048
6;3231XD;70639;435696
6;9861EE;214042;580956
7;2841DJ;105586;443866
7;2971BA;113445;431822
8;1087DG;128295;485703
8;4941JN;119757;412111
9;1944TA;105238;500472
9;2251HW;91264;460434
9;2622AH;83686;444239
9;4904KC;118468;403713
9;6006GD;177574;361314
10;2263TA;87687;457397
10;3401GW;130250;448620
11;7031HA;208541;441024
12;7462TD;231988;480489
13;1761WV;116603;541479
13;1781XA;113093;551935
13;3633EA;130621;471373
13;5961CE;200750;385932
13;9001GS;184877;567231
14;1272BH;143976;478881
14;3284XT;84954;418812
14;5121VL;121941;400257
15;2902LC;99296;438716
15;4761GK;100773;407013
15;8043DE;200881;505155
15;9731MG;234651;584462
16;4481DR;52286;390392
16;5306CB;134418;425676
16;5447BM;189456;408009
16;5469EX;168895;399483
16;7827RB;256044;529254
17;3078EZ;97694;434089
18;2522ZE;82240;453029
19;4816BJ;113341;401108
19;9649EB;253893;574513
21;6901AW;202127;437526
22;2151XJ;102732;475301
23;5111VV;123075;384073
23;5301SH;145474;423953
23;7321LA;196523;469803
24;3085XM;93804;431972
24;3232RE;70833;434161
24;3253VT;55087;426081
24;6909DS;206417;435463
27;6041KH;196868;355879
28;1318CS;145445;488013
29;2295KA;78017;448678
29;7991CM;220552;538967
29;9753JB;237818;576409
30;3361HR;112575;425775
31;2313GN;94623;462777
31;7544NT;256726;468876
32;1336HV;150405;490177
33;7558TH;253273;479038
34;1735HE;118969;527955
34;6451HG;197022;330903
34;9934RS;256835;594267
37;2681PB;72949;450707
37;3451EV;129452;457549
40;9108NM;195599;587542
41;8315PS;184298;530730
43;1215PV;138977;469083
43;3904LE;166048;446989
44;6416AT;197992;321947
44;9203AH;202447;569367
45;1091RR;122344;485643
46;7534GH;262975;470114
47;4506JK;15814;378525
49;7531VB;259790;472020
50;3764VJ;148977;465614
50;5712XJ;177826;376713
51;5254VL;142163;413463
51;8084VJ;188398;492094
52;1541VB;114815;497097
52;2665DV;97158;446664
54;5961RP;200310;385435
57;1567KN;111933;500715
58;4261ZH;137254;418252
58;4461XR;50386;391579
60;1871EZ;107215;525576
61;3352XM;106823;428020
62;7573EJ;260757;482422
65;1693DH;139680;527450
77;6641NC;180692;430630
78;3076LK;96007;432548
80;1051KB;119717;488132
80;6413SZ;194842;325690
81;1871CM;107839;525131
81;3851BG;170395;477911
83;1098GM;124346;485231
83;2224JE;88182;467979
84;5235AJ;149312;415781
87;3571PM;137964;457233
87;9648JK;254178;567575
94;3155DJ;77075;440412
96;3072LZ;92436;434913
99;3402PG;130099;450791
103;7574AL;260494;480501
106;3205BL;83255;428071
107;8091DE;197459;497533
108;1628XA;135851;517935
113;2715VG;92543;452545
122;1447ZM;126252;499735
122;3328TD;105443;421353
145;1508HB;116269;497228
145;5261CV;148662;407648
148;1966ND;106998;501684
152;7161WD;239532;461758
157;6224GN;177995;317891
164;2623MS;84541;444362
173;2261ZB;87323;457379
203;2224HE;88148;468203
249;6441CE;196260;329429
259;1544LT;115101;498906
270;1053NE;119389;486311
288;4705AJ;92973;395464
349;5223EH;148201;411638
504;5403WH;172397;408829
771;4204CS;125199;427454
958;2544GK;77583;451014
960;2518JX;79385;455748
1008;1112XZ;125762;482100
1045;2551BR;75444;452849
1415;2555BK;76181;453595
1426;6605BH;178435;423559
4211;6602ZW;177280;424412
23201;5623DS;160843;385016
