1;1186JS;119507;477408
1;1456BA;123171;502410
1;1851MA;109093;512858
1;2103VD;103246;483872
1;2182DA;99679;478141
1;2803TK;107318;448998
1;3012KA;92530;437083
1;3161DK;89135;429818
1;3221LV;65722;427996
1;3221LZ;67838;427164
1;3249AS;64987;414380
1;3404BC;131775;446802
1;3555CM;133903;458627
1;4306NK;58824;409415
1;4521AE;36538;372127
1;4844CS;110879;406129
1;5151LD;137598;410118
1;5165ED;124265;411276
1;5397AM;159107;424104
1;5688MP;151789;392867
1;5813AG;188641;390078
1;6035CG;182975;368104
1;6041VK;196068;355523
1;6224GA;178069;318301
1;6713HW;173099;449992
1;6913BC;203073;433986
1;6961KR;199945;458589
1;6981GE;206982;447308
1;7131WT;236588;444397
1;7433CD;209217;475737
1;7607TG;244812;485940
1;7772AW;238446;509642
1;7822HD;257207;534040
1;8051MG;200638;498462
1;8172XR;194456;477600
1;8556AH;172917;545481
1;9033XK;177635;578453
1;9137RX;199335;599592
1;9263TV;194251;575938
2;1098KC;124642;485264
2;1275DJ;146494;478272
2;1829CJ;113500;516286
2;2394VE;99989;460134
2;2671HS;74026;445522
2;3401AD;131132;448330
2;3543HN;131192;457890
2;3641GN;119581;469467
2;3772GX;167560;461380
2;3832JC;156571;459162
2;4001CW;157785;433350
2;4133AC;134423;443903
2;4505PM;20242;374382
2;4703BH;90081;394227
2;4849BB;118379;400522
2;4906AB;116407;409089
2;4941AA;120062;411631
2;5211KW;149566;410805
2;5211TD;149036;411606
2;5388RC;166739;414104
2;5405NH;172324;407608
2;5482CE;159491;402556
2;5702DL;174861;389430
2;5754AE;185186;385176
2;5961SR;201793;385462
2;6001BC;177460;362954
2;6135CA;187874;335347
2;6431WB;193685;325776
2;6446BD;194012;327010
2;6713BC;174088;450176
2;6921WV;198239;439706
2;7468CV;236324;478477
2;7573GK;260376;482056
2;7701BT;229243;513526
2;7944PV;207753;521722
2;9074MC;181211;590523
2;9475TR;240625;569310
2;9713GE;234762;582176
2;9722BC;234766;580021
2;9741JH;232877;584003
3;1121PC;122351;493005
3;1191AM;121939;479101
3;1357AA;144052;483287
3;1422WS;115443;473797
3;1705LH;116409;518310
3;1842GZ;117650;516834
3;1991XH;105590;493629
3;2036KV;104463;485275
3;2253GA;90868;461469
3;2993CH;92847;430266
3;3053ER;92048;441621
3;3112SL;87717;437263
3;3555XT;134136;458833
3;4328KZ;39132;415286
3;4587RD;64980;374861
3;4614KM;78605;391464
3;4631KS;81324;383227
3;4931XE;117884;413133
3;5041DP;133514;397348
3;5211BR;148799;411215
3;5521VJ;150029;373847
3;5691HC;161618;392526
3;5991PE;204715;372445
3;6121HZ;185395;338844
3;6718TJ;173578;453380
3;6832AT;190944;442172
3;8121ZM;204545;484042
3;8933DV;183202;579090
3;9422HX;226680;551779
3;9671BV;264951;574578
3;9723ZM;234761;580747
4;1067VB;114425;487998
4;1086WB;127412;485977
4;1097VX;124970;484002
4;1121GL;122719;493602
4;1705LP;116422;518380
4;1749KL;111327;525916
4;2042AB;96272;487433
4;2134XK;104205;480902
4;2282PC;82711;452591
4;2341SJ;92601;466731
4;2543VK;77790;450759
